"Obs","Name","Type","numobs","nmiss","per_miss","unique","mean_or_top1","min_or_top2","p1_or_top3","p5_or_top4","p25_or_top5","median_or_bot5","p75_or_bot4","p95_or_bot3","p99_or_bot2","max_or_bot1"
454,"TRUERISK_PROPERTY_COUNTRYWIDE","integer",895720,0,"0%",528,"650.523936051445","0","336","400","588","682","740","790","812","828"
455,"AUC1001","integer",895720,190000,"21%",51807,"10998.1839072153","0","0","0","0","7903.5","18244","34209","48787.8099999999","393505"
456,"AUC2001","integer",895720,379577,"42%",35357,"3390.94267092647","0","0","0","0","0","342.5","20787","35415.74","838239"
457,"DEADFLAG","character",895720,0,"0%",1,"N::895720","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
458,"PROMOSUP","character",895720,0,"0%",1,"N::895720","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
459,"LOCKFLAG","character",895720,0,"0%",1,"N::895720","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
460,"SFFXFLAG","character",895720,0,"0%",2,"N::827982","Y::67738","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
461,"RR_FLAG","character",895720,0,"0%",2,"N::893271","Y::2449","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
462,"POB_FLAG2","character",895720,0,"0%",2,"N::895191","Y::529","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
463,"GEN_FLAG","character",895720,0,"0%",2,"N::895716","Y::4","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
464,"MILIFLAG","character",895720,0,"0%",1,"N::895720","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
465,"CURADDR","integer",895720,0,"0%",480,"119.047841959541","0","3","8","48","111","171","269","284","999"
466,"RMDSPFLG","character",895720,0,"0%",2,"N::779837","Y::115883","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
467,"AGE","integer",895720,0,"0%",35,"47.8418278033314","30","30","32","40","48","56","63","64","64"
468,"INFRAGE","integer",895720,0,"0%",79,"42.5166826686911","18","24","29","36","43","48","55","60","99"
469,"AKA_FLAG","character",895720,0,"0%",2,"N::890885","Y::4835","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
470,"HMEQUITY","character",895720,0,"0%",2,"N::636692","Y::259028","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
471,"HOMEFLAG","character",895720,0,"0%",2,"Y::683393","N::212327","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
472,"CSTMFLG","character",895720,0,"0%",1,"N::895720","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
473,"HAWKFLAG","character",895720,0,"0%",1,"N::895720","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
474,"MAJDRGI","character",895720,0,"0%",2,"N::602619","Y::293101","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
475,"MAJDRGH","character",895720,0,"0%",2,"N::602619","Y::293101","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
476,"MINDRGI","character",895720,0,"0%",2,"N::777807","Y::117913","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
477,"MINDRGH","character",895720,0,"0%",2,"N::777807","Y::117913","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
478,"STUDACT","character",895720,0,"0%",2,"N::664502","Y::231218","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
479,"STUDDEF","character",895720,0,"0%",2,"N::895146","Y::574","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA","NA::NA"
480,"DEROGPUB","integer",895720,0,"0%",49,"0.0963805653552449","0","0","0","0","0","0","1","2","99"
481,"BANKRPT","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
482,"BANKIN12","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
483,"BANKIN24","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
484,"AGBKRUPT","integer",895720,0,"0%",1,"0","0","0","0","0","0","0","0","0","0"
485,"FORECLTH","integer",895720,0,"0%",15,"0.0143203233153218","0","0","0","0","0","0","0","1","48"
486,"FORECL12","integer",895720,0,"0%",6,"0.00376456928504443","0","0","0","0","0","0","0","0","8"
487,"FORECL24","integer",895720,0,"0%",8,"0.00525610681909525","0","0","0","0","0","0","0","0","8"
488,"LIENTH","integer",895720,0,"0%",39,"0.0234001696958871","0","0","0","0","0","0","0","1","57"
